City ID,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,kieta,PG,100,1632165190,79,-6.2167,155.6333,77.43,3.24
1,saint-philippe,RE,98,1632165190,82,-21.3585,55.7679,67.59,14.92
2,kingisepp,RU,99,1632165191,65,59.3733,28.6134,42.44,9.53
3,krasnoarmeysk,RU,100,1632165191,77,51.0239,45.6969,48.7,14.03
4,kodiak,US,98,1632164456,83,57.79,-152.4072,49.39,17.98
5,verkhoyansk,RU,19,1632165191,85,67.5447,133.385,30.58,4.34
6,katsuura,JP,17,1632165192,78,35.1333,140.3,69.91,9.4
7,vallenar,CL,0,1632165192,17,-28.5708,-70.7581,81.88,9.86
8,puerto ayora,EC,100,1632165193,78,-0.7393,-90.3518,80.56,12.68
9,busselton,AU,0,1632165193,66,-33.65,115.3333,52.36,11.01
10,rikitea,PF,13,1632165194,77,-23.1203,-134.9692,74.07,17.36
11,eldorado,BR,0,1632165194,12,-23.7869,-54.2836,104.18,8.86
12,camacha,PT,40,1632165194,68,33.0833,-16.3333,70.56,14.97
13,honiara,SB,73,1632164972,87,-9.4333,159.95,76.46,6.89
14,olafsvik,IS,88,1632164900,80,64.8945,-23.7142,44.82,13.49
15,khor,RU,100,1632165195,80,47.8861,134.9464,50.25,5.57
16,svetlogorsk,BY,100,1632165196,93,52.6333,29.7333,40.48,9.33
17,bonfim,BR,100,1632165196,54,3.0833,-59.95,89.49,5.5
18,yellowknife,CA,75,1632165197,81,62.456,-114.3525,46.92,3.44
19,tabou,CI,65,1632164602,87,4.423,-7.3528,77.74,5.75
20,along,IN,81,1632165197,96,28.1667,94.7667,72.27,2.01
21,carnarvon,AU,0,1632164732,25,-24.8667,113.6333,64.47,10.36
22,mirnyy,RU,99,1632165198,80,62.5353,113.9611,34.45,8.12
23,maniitsoq,GL,38,1632165198,58,65.4167,-52.9,35.26,6.08
24,mahebourg,MU,44,1632164741,73,-20.4081,57.7,69.04,16.96
25,praia da vitoria,PT,40,1632165148,88,38.7333,-27.0667,71.85,11.1
26,bengkulu,ID,100,1632164608,87,-3.8004,102.2655,76.44,3.11
27,punta arenas,CL,75,1632164962,62,-53.15,-70.9167,53.71,25.32
28,aswan,EG,24,1632165199,12,24.0934,32.907,93.83,6.67
29,avarua,CK,75,1632165200,78,-21.2078,-159.775,78.85,8.05
30,vaini,TO,40,1632165200,88,-21.2,-175.2,69.96,9.22
31,vila franca do campo,PT,23,1632165200,76,37.7167,-25.4333,70.21,11.18
32,vila velha,BR,20,1632165087,69,-20.3297,-40.2925,80.55,10.36
33,albany,US,7,1632165201,47,42.6001,-73.9662,76.95,7.63
34,north bend,US,1,1632165201,56,43.4065,-124.2243,67.91,3.44
35,sobolevo,RU,100,1632165202,97,54.4299,31.8996,43.2,10.47
36,christchurch,NZ,100,1632165202,66,-43.5333,172.6333,52.0,11.5
37,tiksi,RU,100,1632165203,71,71.6872,128.8694,31.75,5.48
38,kaputa,ZM,0,1632165203,39,-8.4689,29.6619,78.93,1.66
39,coquimbo,CL,0,1632165196,59,-29.9533,-71.3436,64.13,14.97
40,arraial do cabo,BR,0,1632165204,78,-22.9661,-42.0278,76.96,25.32
41,hobart,AU,75,1632165204,57,-42.8794,147.3294,44.46,14.97
42,pangnirtung,CA,75,1632165205,69,66.1451,-65.7125,35.6,9.22
43,faya,SA,2,1632165205,28,18.3851,42.4509,72.12,5.57
44,moss point,US,1,1632165205,62,30.4116,-88.5345,89.62,4.61
45,kapaa,US,75,1632165206,74,22.0752,-159.319,82.38,16.11
46,east london,ZA,41,1632165206,58,-33.0153,27.9116,60.08,27.11
47,thompson,CA,75,1632164466,76,55.7435,-97.8558,50.16,6.91
48,owensboro,US,75,1632164971,74,37.7742,-87.1133,84.18,14.97
49,baruun-urt,MN,100,1632165192,87,46.6806,113.2792,51.53,1.19
50,saint-pierre,RE,0,1632165207,73,-21.3393,55.4781,67.68,17.27
51,port elizabeth,ZA,75,1632165208,62,-33.918,25.5701,57.49,18.41
52,paamiut,GL,8,1632165208,80,61.994,-49.6678,36.03,30.8
53,amalapuram,IN,100,1632165209,90,16.5833,82.0167,77.99,4.09
54,chuy,UY,87,1632165209,87,-33.6971,-53.4616,67.23,9.53
55,ulladulla,AU,69,1632165209,72,-35.35,150.4667,45.09,9.17
56,gweta,BW,20,1632165077,19,-20.1833,25.2333,82.29,9.04
57,ust-kuyga,RU,100,1632165210,67,70.0167,135.6,28.99,5.99
58,tuktoyaktuk,CA,75,1632165211,70,69.4541,-133.0374,42.8,8.05
59,launceston,AU,7,1632165211,70,-41.45,147.1667,38.84,9.22
60,castro,BR,1,1632164766,39,-24.7911,-50.0119,86.81,5.12
61,roald,NO,75,1632165212,62,62.5833,6.1333,58.12,11.5
62,port lincoln,AU,99,1632165212,62,-34.7333,135.8667,51.6,17.16
63,yar-sale,RU,99,1632164924,90,66.8333,70.8333,36.05,12.41
64,puerto ayacucho,VE,100,1632165213,66,5.6639,-67.6236,85.89,2.13
65,mataura,NZ,100,1632165213,93,-46.1927,168.8643,41.27,2.17
66,sisimiut,GL,100,1632165214,67,66.9395,-53.6735,34.29,3.56
